NNZ    GPUs   Runtime
10     1      1.02
10     1      1.12
10     1      1.22
10     1      1.15
10     1      1.22
20     8      1.50
20     8      1.60
20     8      1.70
20     8      1.50
20     8      1.60
20     8      1.77
40    16      2.50
40    16      2.40
40    16      2.60
40    16      2.60
40    16      2.50
40    16      2.50
80    32      5.50
80    32      5.50
80    32      5.50
80    32      5.40
80    32      5.30
80    32      5.60
80    32      5.30
160   64      8.00
160   64      8.00
160   64      8.10
160   64      8.20
160   64      8.10
160   64      8.30
160   64      8.10
160   64      8.10
320   128     12.00
320   128     11.00
320   128     11.00
320   128     12.30
320   128     12.30
320   128     12.10
320   128     12.00
640   256     16.00
640   256     14.00
640   256     15.00
640   256     16.10
640   256     16.20
640   256     16.00
1200  512     18.00
1200  512     18.00
1200  512     18.00
1200  512     17.60
1200  512     17.00
1200  512     17.00
1200  512     18.00
1200  512     18.00
2500  1024    25.00
2500  1024    25.00
2500  1024    25.00
2500  1024    25.00
2500  1024    24.00
2500  1024    24.10
2500  1024    24.10
2500  1024    25.00
2500  1024    25.00
