"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","209809","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2.10"
"0","209809","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"0","209809","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"0","209809","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"0","209809","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","4.32"
"1","209809","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","58.63"
"1","209809","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Kbyte","363.26"
"1","209809","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"1","209809","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"1","209809","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","28.45"
"2","209809","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.20"
"2","209809","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"2","209809","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"2","209809","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"2","209809","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(256, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","4.90"
"3","209809","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(32, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2.11"
"3","209809","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(32, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"3","209809","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(32, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
